"","country","iso3","g.whoregion","row.rank.ret","year.ret","source.ret","all.areas.covered.ret","surv.quality.ret","dst.rlt.ret","mdr.ret","mdr.ret.pcnt","mdr.ret.pcnt.lo","mdr.ret.pcnt.hi","dr.r.nh.ret","dr.r.nh.ret.pcnt","dr.r.nh.ret.pcnt.lo","dr.r.nh.ret.pcnt.hi","xpert.ret","xpert.dr.r.ret","xpert.dr.r.ret.pcnt","xpert.dr.r.ret.pcnt.lo","xpert.dr.r.ret.pcnt.hi","r.rlt.ret","rr.ret","rr.ret.pcnt","rr.ret.pcnt.lo","rr.ret.pcnt.hi","dst.rlt.hr.ret","dst.rlt.hr.ret.pcnt","dst.rlt.hr.ret.pcnt.lo","dst.rlt.hr.ret.pcnt.hi","dst.rlt.rr.ret","dst.rlt.rr.ret.pcnt","dst.rlt.rr.ret.pcnt.lo","dst.rlt.rr.ret.pcnt.hi","dr.h.nr.ret","dr.h.nr.ret.pcnt","dr.h.nr.ret.pcnt.lo","dr.h.nr.ret.pcnt.hi"
"48","Azerbaijan","AZE","EUR",1,2022,"Surveillance",1,"A",2153,248,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2153,487,NA,NA,NA,420,NA,NA,NA,487,NA,NA,NA,NA,NA,NA,NA
"49","Azerbaijan","AZE","EUR",2,2021,"Surveillance",1,"A",2159,276,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2159,487,NA,NA,NA,450,NA,NA,NA,487,NA,NA,NA,NA,NA,NA,NA
"50","Azerbaijan","AZE","EUR",3,2019,"Surveillance",1,"A",1951,303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2183,533,NA,NA,NA,431,NA,NA,NA,533,NA,NA,NA,NA,NA,NA,NA
"51","Azerbaijan","AZE","EUR",4,2018,"Surveillance",1,"A",2522,478,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2743,701,NA,NA,NA,679,NA,NA,NA,701,NA,NA,NA,NA,NA,NA,NA
"52","Azerbaijan","AZE","EUR",5,2016,"Surveillance",1,"R",1567,616,NA,NA,NA,36,NA,NA,NA,221,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,219,NA,NA,NA
"53","Azerbaijan","AZE","EUR",6,2013,"Survey",1,"A",240,NA,27.5,22,33.6,NA,1.6,0.2,5.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.5,21.9,35.9
"54","Belgium","BEL","EUR",1,2015,"Surveillance",1,"A",34,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA
"55","Belgium","BEL","EUR",2,2014,"Surveillance",1,"A",47,1,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"56","Belgium","BEL","EUR",3,2013,"Surveillance",1,"A",41,1,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA
"57","Belgium","BEL","EUR",4,2012,"Surveillance",1,"A",53,7,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA
"58","Belgium","BEL","EUR",5,2011,"Surveillance",1,"A",33,4,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"59","Belgium","BEL","EUR",6,2010,"Surveillance",1,"A",59,9,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA
"60","Belgium","BEL","EUR",7,2009,"Surveillance",1,"A",53,3,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA
"61","Belgium","BEL","EUR",8,2008,"Surveillance",1,"A",48,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA
"62","Belgium","BEL","EUR",9,2007,"pre-2010 TME data collection",1,"A",52,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","Belgium","BEL","EUR",10,2006,"Surveillance",1,"A",57,8,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA
"64","Belgium","BEL","EUR",11,2005,"Surveillance",1,"A",41,3,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"65","Belgium","BEL","EUR",12,2004,"Surveillance",1,"A",65,5,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA
"66","Belgium","BEL","EUR",13,2003,"Surveillance",1,"A",65,1,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA
"67","Belgium","BEL","EUR",14,2002,"Surveillance",1,"A",57,4,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA
"68","Belgium","BEL","EUR",15,2001,"Surveillance",1,"A",74,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA
"69","Belgium","BEL","EUR",16,2000,"Surveillance",1,"A",78,4,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA
"70","Benin","BEN","AFR",1,2016,"Surveillance",1,"R",226,15,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA
"71","Benin","BEN","AFR",2,2014,"Surveillance",1,"R",165,8,NA,NA,NA,1,NA,NA,NA,20,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"72","Benin","BEN","AFR",3,2011,"Surveillance",1,"R",152,20,NA,NA,NA,6,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA
"73","Benin","BEN","AFR",4,2010,"Survey",1,"A",45,NA,13.3,5.5,27.5,NA,13.3,5.5,27.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.8,8.5,32.6
"74","Bangladesh","BGD","SEA",1,2019,"Survey",1,"A",123,NA,11.4,7.2,17.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,156,NA,12.2,8.9,16.5,NA,17.9,12.7,24.6,NA,13,9.5,17.6,NA,6.5,4,10.5
"75","Bangladesh","BGD","SEA",2,2011,"Survey",1,"A",291,NA,28.5,23.5,34.1,NA,0.4,0,2.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.7,4,10
"76","Bulgaria","BGR","EUR",1,2018,"Surveillance",1,"A",72,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,16,NA,NA,NA,19,NA,NA,NA,16,NA,NA,NA,NA,NA,NA,NA
"77","Bulgaria","BGR","EUR",2,2016,"Surveillance",1,"A",81,14,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA
"78","Bulgaria","BGR","EUR",3,2012,"Surveillance",1,"A",142,33,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,NA,NA,NA
"79","Bulgaria","BGR","EUR",4,2011,"Surveillance",1,"S",145,37,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,NA,NA,NA
"80","Bulgaria","BGR","EUR",5,2010,"Surveillance",1,"A",165,40,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,NA,NA,NA
"81","Bahrain","BHR","EMR",1,2018,"Surveillance",1,"A",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"82","Bahrain","BHR","EMR",2,2012,"Surveillance",1,"A",1,1,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"83","Bahamas","BHS","AMR",1,2020,"Surveillance",1,"A",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"84","Bahamas","BHS","AMR",2,2015,"Surveillance",1,"R",2,1,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"85","Bahamas","BHS","AMR",3,2013,"Surveillance",1,"R",3,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"86","Bahamas","BHS","AMR",4,2011,"Surveillance",1,"A",1,0,NA,NA,NA,1,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
