"","country","iso3","g.whoregion","row.rank.new","year.new","source.new","all.areas.covered.new","surv.quality.new","dst.rlt.new","mdr.new","mdr.new.pcnt","mdr.new.pcnt.lo","mdr.new.pcnt.hi","dr.r.nh.new","dr.r.nh.new.pcnt","dr.r.nh.new.pcnt.lo","dr.r.nh.new.pcnt.hi","xpert.new","xpert.dr.r.new","xpert.dr.r.new.pcnt","xpert.dr.r.new.pcnt.lo","xpert.dr.r.new.pcnt.hi","r.rlt.new","rr.new","rr.new.pcnt","rr.new.pcnt.lo","rr.new.pcnt.hi","dst.rlt.hr.new","dst.rlt.hr.new.pcnt","dst.rlt.hr.new.pcnt.lo","dst.rlt.hr.new.pcnt.hi","dst.rlt.rr.new","dst.rlt.rr.new.pcnt","dst.rlt.rr.new.pcnt.lo","dst.rlt.rr.new.pcnt.hi","dr.h.nr.new","dr.h.nr.new.pcnt","dr.h.nr.new.pcnt.lo","dr.h.nr.new.pcnt.hi"
"64","Azerbaijan","AZE","EUR",5,2018,"Surveillance",1,"A",1904,160,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1983,237,NA,NA,NA,275,NA,NA,NA,237,NA,NA,NA,NA,NA,NA,NA
"65","Azerbaijan","AZE","EUR",6,2013,"Survey",1,"A",549,NA,13.1,10.4,16.2,NA,0.2,0,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,12.8,19.6
"66","Belgium","BEL","EUR",1,2021,"Surveillance",1,"N",375,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,377,3,NA,NA,NA,19,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA
"67","Belgium","BEL","EUR",2,2019,"Surveillance",1,"N",437,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,437,9,NA,NA,NA,19,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA
"68","Belgium","BEL","EUR",3,2018,"Surveillance",1,"N",427,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,427,5,NA,NA,NA,22,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA
"69","Belgium","BEL","EUR",4,2015,"Surveillance",1,"A",428,6,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,NA,NA,NA
"70","Belgium","BEL","EUR",5,2014,"Surveillance",1,"A",389,6,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,NA,NA,NA
"71","Belgium","BEL","EUR",6,2013,"Surveillance",1,"A",399,7,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,NA
"72","Belgium","BEL","EUR",7,2012,"Surveillance",1,"A",503,8,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,NA,NA,NA
"73","Belgium","BEL","EUR",8,2011,"Surveillance",1,"A",518,7,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,NA,NA,NA
"74","Belgium","BEL","EUR",9,2010,"Surveillance",1,"A",614,10,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,NA,NA,NA
"75","Belgium","BEL","EUR",10,2009,"Surveillance",1,"A",609,4,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,NA,NA,NA
"76","Belgium","BEL","EUR",11,2008,"Surveillance",1,"A",630,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,NA,NA,NA
"77","Belgium","BEL","EUR",12,2007,"pre-2010 TME data collection",1,"A",707,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","Belgium","BEL","EUR",13,2006,"Surveillance",1,"A",606,8,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,NA,NA,NA
"79","Belgium","BEL","EUR",14,2005,"Surveillance",1,"A",588,7,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,NA,NA,NA
"80","Belgium","BEL","EUR",15,2004,"Surveillance",1,"A",622,3,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,NA
"81","Belgium","BEL","EUR",16,2003,"Surveillance",1,"A",510,3,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,NA,NA,NA
"82","Belgium","BEL","EUR",17,2002,"Surveillance",1,"A",629,15,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,NA,NA,NA
"83","Belgium","BEL","EUR",18,2001,"Surveillance",1,"A",562,13,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,NA,NA,NA
"84","Belgium","BEL","EUR",19,2000,"Surveillance",1,"A",562,7,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,NA,NA,NA
"85","Benin","BEN","AFR",1,2010,"Survey",1,"A",403,NA,0.5,0.1,2,NA,0.7,0.2,2.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.4,5.2,10.6
"86","Benin","BEN","AFR",2,1997,"Survey",1,"A",333,NA,0.3,0.01,1.66,NA,0,0,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.11,3,8.05
"87","Bangladesh","BGD","SEA",1,2019,"Survey",1,"A",21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2096,NA,0.7,0.4,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","Bangladesh","BGD","SEA",2,2011,"Survey",1,"A",1050,NA,1.4,0.7,2.5,NA,0.2,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.4,3.2,5.8
"89","Bulgaria","BGR","EUR",1,2018,"Surveillance",1,"A",464,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,476,12,NA,NA,NA,30,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA
"90","Bulgaria","BGR","EUR",2,2016,"Surveillance",1,"A",572,5,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,NA,NA,NA
"91","Bulgaria","BGR","EUR",3,2012,"Surveillance",1,"A",687,16,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,NA
