"","country","iso3","g.whoregion","row.rank.new","year.new","source.new","all.areas.covered.new","area.desc.new","surv.quality.new","dst.rlt.new","mdr.new","mdr.new.pcnt","mdr.new.pcnt.lo","mdr.new.pcnt.hi","dr.r.nh.new","dr.r.nh.new.pcnt","dr.r.nh.new.pcnt.lo","dr.r.nh.new.pcnt.hi","xpert.new","xpert.dr.r.new","xpert.dr.r.new.pcnt","xpert.dr.r.new.pcnt.lo","xpert.dr.r.new.pcnt.hi","r.rlt.new","rr.new","rr.new.pcnt","rr.new.pcnt.lo","rr.new.pcnt.hi","dst.rlt.hr.new","dst.rlt.hr.new.pcnt","dst.rlt.hr.new.pcnt.lo","dst.rlt.hr.new.pcnt.hi","dst.rlt.rr.new","dst.rlt.rr.new.pcnt","dst.rlt.rr.new.pcnt.lo","dst.rlt.rr.new.pcnt.hi","dr.h.nr.new","dr.h.nr.new.pcnt","dr.h.nr.new.pcnt.lo","dr.h.nr.new.pcnt.hi"
"49","Australia","AUS","WPR",9,2013,"Surveillance",1,NA,"A",570,13,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43,NA,NA,NA
"50","Australia","AUS","WPR",10,2012,"Surveillance",1,NA,"A",861,16,NA,NA,NA,4,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,116,NA,NA,NA
"51","Australia","AUS","WPR",11,2011,"Surveillance",1,NA,"A",652,14,NA,NA,NA,1,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37,NA,NA,NA
"52","Australia","AUS","WPR",12,2010,"Surveillance",1,NA,"A",868,21,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56,NA,NA,NA
"53","Austria","AUT","EUR",1,2015,"Surveillance",1,NA,"A",264,5,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA
"54","Austria","AUT","EUR",2,2014,"Surveillance",1,NA,"A",260,7,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,NA,NA,NA
"55","Austria","AUT","EUR",3,2013,"Surveillance",1,NA,"A",279,7,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,NA,NA,NA
"56","Austria","AUT","EUR",4,2012,"Surveillance",1,NA,"A",254,9,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,NA,NA
"57","Austria","AUT","EUR",5,2011,"Surveillance",1,NA,"A",257,9,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,NA,NA,NA
"58","Austria","AUT","EUR",6,2010,"Surveillance",1,NA,"A",241,5,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,NA,NA,NA
"59","Austria","AUT","EUR",7,2009,"Surveillance",1,NA,"A",263,5,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA
"60","Austria","AUT","EUR",8,2008,"Surveillance",1,NA,"A",439,11,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,NA,NA,NA
"61","Austria","AUT","EUR",9,2007,"Surveillance",1,NA,"A",481,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,NA,NA,NA
"62","Austria","AUT","EUR",10,2006,"pre-2010 TME data collection",1,NA,"A",500,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","Austria","AUT","EUR",11,2005,"Surveillance",1,NA,"A",570,11,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43,NA,NA,NA
"64","Austria","AUT","EUR",12,2004,"Surveillance",1,NA,"A",600,17,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,NA,NA,NA
"65","Austria","AUT","EUR",13,2003,"Surveillance",1,NA,"A",554,8,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,NA
"66","Austria","AUT","EUR",14,2002,"Surveillance",1,NA,"A",633,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,NA,NA
"67","Austria","AUT","EUR",15,2001,"Surveillance",1,NA,"A",589,4,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,NA
"68","Austria","AUT","EUR",16,2000,"Surveillance",1,NA,"A",694,3,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,NA,NA,NA
"69","Austria","AUT","EUR",17,1999,"Surveillance",1,NA,"A",703,2,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,NA,NA,NA
"70","Azerbaijan","AZE","EUR",1,2022,"Surveillance",1,NA,"A",1644,110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1671,199,NA,NA,NA,254,NA,NA,NA,199,NA,NA,NA,NA,NA,NA,NA
"71","Azerbaijan","AZE","EUR",2,2021,"Surveillance",1,NA,"A",1409,113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1409,172,NA,NA,NA,205,NA,NA,NA,172,NA,NA,NA,NA,NA,NA,NA
"72","Azerbaijan","AZE","EUR",3,2020,"Surveillance",1,NA,"A",1162,122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1245,149,NA,NA,NA,169,NA,NA,NA,149,NA,NA,NA,NA,NA,NA,NA
"73","Azerbaijan","AZE","EUR",4,2019,"Surveillance",1,NA,"A",1806,111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1911,219,NA,NA,NA,225,NA,NA,NA,219,NA,NA,NA,NA,NA,NA,NA
"74","Azerbaijan","AZE","EUR",5,2018,"Surveillance",1,NA,"A",1904,160,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1983,237,NA,NA,NA,275,NA,NA,NA,237,NA,NA,NA,NA,NA,NA,NA
"75","Azerbaijan","AZE","EUR",6,2017,"Surveillance",1,NA,"A",1328,170,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973,245,NA,NA,NA,228,NA,NA,NA,170,NA,NA,NA,NA,NA,NA,NA
"76","Azerbaijan","AZE","EUR",7,2013,"Survey",1,NA,"A",549,NA,13.1,10.4,16.2,NA,0.2,0,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,12.8,19.6
"77","Belgium","BEL","EUR",1,2021,"Surveillance",1,NA,"N",375,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,377,3,NA,NA,NA,19,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA
"78","Belgium","BEL","EUR",2,2019,"Surveillance",1,NA,"N",437,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,437,9,NA,NA,NA,19,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA
"79","Belgium","BEL","EUR",3,2018,"Surveillance",1,NA,"N",427,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,427,5,NA,NA,NA,22,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA
"80","Belgium","BEL","EUR",4,2015,"Surveillance",1,NA,"A",428,6,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,NA,NA,NA
"81","Belgium","BEL","EUR",5,2014,"Surveillance",1,NA,"A",389,6,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,NA,NA,NA
"82","Belgium","BEL","EUR",6,2013,"Surveillance",1,NA,"A",399,7,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,NA
"83","Belgium","BEL","EUR",7,2012,"Surveillance",1,NA,"A",503,8,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,NA,NA,NA
"84","Belgium","BEL","EUR",8,2011,"Surveillance",1,NA,"A",518,7,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,NA,NA,NA
"85","Belgium","BEL","EUR",9,2010,"Surveillance",1,NA,"A",614,10,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,NA,NA,NA
